내용	긍부정
한번 들려본건데 생각보다 알차서 시간 넉넉하게 잡는걸 추천드려요. 드라마 촬영장같았어요!	1
굿	1
생각보다 넓고 구경거리도 소소하게 있었어요. 	1
문화단지에 고분 잘 보았습니다	1
문화단지 내에서 하루 종일 봐도 부족할 정도로 볼거리가 많습니다. 문화관, 능사, 사비궁, 고분공원 등 날잡고 둘러봐야합니다. 다만 굉장히 넓기 때문에 체력적으로 힘들 수 있습니다. 한 번에 다 못봐서 놀러올 때마다 둘러봐야겠네요. 잘 봤습니다.	1
좋아요.	1
볼거 놀거 많고 깨끗해요	1
입장료에 비해 너무 볼게없어서 돈 아까웠어요	0
사비로 열차는 너무 돈 아까운거 같네요. 걷기 운동만 하고 온 기분입니다.	0
좋아요	1
굿	1
다른 곳보다 입장료가 비싼편. 사비로열차는 짧아서 아쉽지만 탈만 해요	0
너무 즐거운 시간 보냈습니다. 갑자기 날씨가 추워져서 힘들긴했지만 볼거리 체험할거리 엄청 많아요	1
구경할게 많네요	1
백제시대 건축물을 재현하기 위하여 분야별 전문연구 기술진이 국가무형문화재 장인들과 함께 20여년 동안 혼을 담은 184동의 전통 건축물이 조성된 곳! 관람코스는 책자에 의하면 세가지가 있는데 우리는 사비로열차(추가요금 5,000원)타고 20분 정도 한바퀴 돌았어요. 말그대로 수박겉핥기! 해설사님이 나른한 목소리로 이것저것 설명하는데 열차가 사진찍을 틈도 안주고 지나가버려서 대나무숲에서 내려 다시 트레킹으로 구석구석 다녔어요. 아이들 데리고 오신분들은 전기어차(1시간 25,000원) 이용해서 다니시는 분들도 많아요. 사비궁, 위례성, 고분공원, 생활문화마을, 그리고 능사가 있는데 능사에는 5층목탑이 있어요. 해설사님에 의하면 탑 꼭대기에 길쭉하게 세워진 기둥이 순금이라네요. 유익한 시간 보냈어요!	1
체험이 다양한 장르가 있어요	1
붐비지 않아 좋았습니다. 은근히 넓고 볼거리도 많네요.	1
수륙양용버스를 타고 오니, 주간 1,500원 할인이 적용돼 매표할 수 있더라고요. 부지가 넓지만 재현 공간이라는 한계는 있고요(드라마 세트장으로도 이용되었다고) 전기저어차는 1시간 25,000원입니다. 참고하세요.	1
저녁에 부여에서 뭐해야할까 고민했는데 마침 낙화놀이를 하더라구요. 줄? 같은 곳에서 불이 막 떨어지는데 굉장히 이뻤습니다. 낙화 뒤에 탑이랑 건물하고 너무 잘어울렸고 공연도 너무 좋았습니다. 중간부터는 막혔던 곳도 들어가게 해줘서 낙화랑 거문고 공연을 더 가까이 볼 수 있었어요. 사람이 많긴했는데 공간이 넓어서 그런지 그래도 다닐만은 했던 것 같습니다 다음에도 한다면 또 보러 가고싶네요.	1
공간이 넓어요~~	1
준비가 안된 낙화행사라 실망입니다. 수천명이 모인것 같은데 안전요원도 몇명 안되고, 군청 관계자나 경찰 등도 없이 이런 대규모 행사를 진행하다니 어이가 없습니다. 포스터에 입장료 얘기도 없었는데 현장에서 5천원씩 내고 들어가는거 알았다면 안갔을 겁니다. 입장권을 사기위해 몇백명이 줄서 있는것도 어이없고, 그나마도 감당이 안되는지 7시쯤 되니 그냥 무료 입장으로 바뀌었더군요. 우르르 몇백명이 안전요원도 없이 능사로 향했습니다. 많은 인원이 몰릴것을 예상하긴 한것 같은데 차량 통제부분, 안전 부분, 입장 시스템 등 아쉬운 점 투성입니다	0
낙화놀이  보고옴... 기획팀보단 마케팅팀의 승리	0
부여백제 문화단지에서 처음으로 낙화 가 있어서 가보았는데 가보길 잘한것같아요 불이 떨어지는 모습이 탑이랑 어울려서 장관을 이루었는데 전통음악 과 같이 2시간동안 지루하지 않았어요 너무 멋있었답니다	1
이뻐요	1
음 낙화놀이 기대하고 일정 맞춰서 방문했는데운영방식이 너무 미흡하네요 홈페이지 안내에서부터 돗자리 금지래서 안 챙겼는데 행사장 가보니 다 돗자리 펼쳐서 자리 잡고 있고,돗자리 안 챙겨 온 사람들도 부랴부랴 주차장 가서 돗자리 다시 챙겨와서 펼치시는 분들도 많았는데제지 하나도 없으셨고요 행사 직전에서야 돗자리 금지라고 다들 일어나라고 안내하시고.. 그게 더 위험해보이던...처음부터 돗자리가 금지면 애초에 입구에서부터 돗자리 반입금지를 시키시던 안내요원 분들이 돗자리 못 펴게 제지를 하셔야 됐다고 봐요 좀 우왕좌왕한 부분들이 컸네요 낙화놀이는 다음에 다른지역으로 보러갈래요ㅠ	0
백제시대의 많은 유적을 잘 표현하고 좋았습니다	1
좋아요	1
사진은 쫌 못 나왔지만 낙화축제 너무 예뻐요 고궁이랑 잘 어울리네요 아쉬운 점은 사람이 너무 많아서 일찍 왔는데도 붐벼서 뒷 줄은 거의 보이지 않았어요ㅠㅠ다들 돗자리 가지고 와서 앉아있던데 행사 시작하고 나서야 다 접게 하시더라구요 차라리 쭉 앉아 있거나 미리 펴지 못하게 했으면 좋았을거 같아요 중간에 정리하려니 더 혼잡해지고 사람끼리 엉키다보니 더 보이지 않게 되어버렸어요ㅠㅠ	1
예약을 인터넷으로 받았으면 입장도 QR이나 바코드로 해주면 좋겠습니다. 예약을 했는데 왜 매표소에 가서 띠지를 받아야하는지 의문이네요. 입장할때 나눠줘도 될거 같은데 너무 아날로그식이라 불편했어요. 다음엔 개선 되어서 입장이 좀 더 수월했으면 좋겠습니다.	0
네이버 예약해서 방문했고요 !! 문화시설 , 주차, 볼거리, 사진도 정말 잘 나오고 무엇보다 낙화놀이가 환상적이 였습니다 처음 접하는 문화놀이 였는데요 창, 노래, 춤 모든 것들이 환상적이였습니다. 다만 아쉬운 점은 행사로 사람이 많은 건 이해합니다. 하지만 인터넷 예약을 필수로 해야 한다고 하였는데 당일 예약/취소 다시 사용 못함 .. 현장 구매 못함을 보았는데요 입장하려 갔더니 어마 어마한 인파와 현장 구매를 하고 있더라구요 그리고 시간이 지체 된다면서 갑자기 직원분이 티켓가격을 확 내려서 주겠다는 안내를 하는것이 아니겠습니까? 그럼 예약해서 미리 더 많이 주고 구매한 사람은 뭐가됩니까 항의했더니 그럼 취소하고 다시 줄을 서라는거 아니겠습니까? 가격 내려서 구매하라고요 이게 말이됩니까?	1
낙화놀이 보러 갔어요. 공연과 함께 보니 더 멋있었습니다. 은은하게 아름다운 모습이 너무 좋았고, 다음엔 낮에 가서 다양한 체험과 관람을 해보고싶네요.	1
낙화놀이 구경하러갈겸 처음으로 방문함사비성 구성이나 낙화놀이는 너무나 만족스러웠지만 입장과정에 아쉬운점이 한두가지가 아니었다 인터넷 예약을 했음에도 별도어 티켓교환이 필요한데 사전에 공지도 없었으며 현장에서도 현장구매줄과 뒤엉켜서 입장하는데 시간이 한참 소요되었는데 예약시스템을 변경(당일취소가능에서 불가)등을 통해 개선이 필요해보임	1
주변에 롯데리조트와 아울렛이 바로 붙어있어서 낮부터 할게 많아요. 저녁에 두 시간동안 낙화놀이한다고 해서 갔는데, 정말 만족스러웠어요. 1) 유료로 미리 예약했는데, 사람들이 정말 너무 많아서 안전사고 등의 사유로 무료로 돌렸다고 하더라고요. (추후 금액은 되돌려준다고 하심) 덕분에 입구부터 축제 장소까지 밀리지 않고 좋았어요. 2) 전통 낙화놀이를 현대식 기술력과 융합하여 2시간동안 계속 구경할 수 있게 설치했더라고요. 시간이 넉넉하여 관광객이 분산되어 편히 볼 수 있을만큼 볼 수 있어서 좋았어요 3) 그 외 야경조경이 잘 되어 있어서 산책하기 좋았어요. 4) 식당들이나 카페나 너무 분주해서 먹거리 즐기기 힘든게 조금 아쉬웠으나, 지역 먹자 찾아가서 잘 먹었어요 (좌판 없는건 깨끗해서 좋았어요)	1
너무 멋졌어요!	1
네이버사전예약으로 갔는데 밤도깨비 프로그램이뭔지도 잘 모르겠고 나중에보니 입장료 없이 그냥 들어오기도 하더라구요. 입장료 9천원주고 들어갔는데 밤도깨비는 초등학생들이 하는 프로그램이고 어떻게 하는지도 안내 못받았구요. 입장 팔찌도 검사 제대로 안하시더라구요. 그럴거면 굳이 왜 사전예약을 했는지 모르겠습니다. 사전에 밤도깨비 프로그램음 초등학생들의 프로그램이라고 안내를 해주셨으면 굳이 묶어진 프로그램 사전예약 하지않았을 겁니다.	0
볼거많은 백제문화단지	1
야경도 멋지고 여유롭게 돌아다닐 수 있어 더 좋았습니다!! 네이버 예약시스템 편해서 좋네요	1
굿	1
백제 문화단지 야간개장 첫방문 아름다운 불빛에 멋스러운 백제시대의 건축양식을 볼수 있어 즐거운 관람 이였어요 식빵굽는 귀여운 고양이도 봤어요	1
기대 이상으로 좋았던 곳이에요. 다음에 부여 오게 되면 재방문 의사 있습니다.	1
굿	1
밤도깨비프로그램까지 즐겼어요	1
사비로열차 타고 한 바퀴 돈 후 찬찬히 둘러보시는 것도 좋을 것 같아요.	1
실제 백제모습인것 같아 좋아요	1
전기어차 이용해서 다녔는데 아이들이 너무 좋아했어요 밤도깨비미션도 너무 즐거워했구요^^	1
야경이 이쁘다해서 가보았는데 생각보다 볼게없었어요.공사중인곳도 많고 걷는데 조명이 생각보다 어두워서 별로였습니다. 롯데리조트 근처라 걸어서 갈수있는거는 장점이네요.	0
좋아요	1
한적하고 백제 사비시대를 재현해놨어요. 나당연합으로 다 소실되어 아쉽네요	1
ㅇ	1
좋아요	1
야경이 너무너무 이쁘고 좋았어요	1
백제에 대한 역사를 알게 된 알찬 시간이었습니다.	1
몇 년 전 낮에 가봤는데 야간이 더 멋진 거 같아요. 프로그램 덕분에 아이도 매우 즐겁게 다녔습니다.	1
밤도깨비 아이가 너무 좋아했어요~~ 만족합니다 아이들이 이번 부여여행중에서 가장 재미있고 기억에 남는다고 했어요~	1
볼 거리가 많고 넓습니다.	1
경관도 좋고 분위기가 넘 좋네요. 백보열은 초등학생 있는 가족은 하시면 애들이 지치지 않고 잘 다녀서 추천합니다.	1
야경이 멋지네요. 아이들 밤도깨비 이벤트도 잼나게 했고 마침 오악사 공연도 있어서 고품질 공연을 즐겼네요.	1
부여 여행] 부여 여행 가서 너무 좋은 곳 잘 구경했어요 처음 해 보는 수륙양용 버스투어도 정말 신기하고 좋은 경험이었어요 백제문화단지 안에는 포토 스팟도 많아서 우리 부부 예쁜 사진도 많이 찍었어요 한적하고 마음이 안정되는 분위기에 너무 행복했어요	1
열차구간이 짧아요	0
비와도 보기 좋은곳이네요~	1
아이가 좋아해요^^	1
너무 조어여!!!	1
넓고 볼거리가 많아요~ 중간중간 체험도 많아서 아이들이 즐거워했어요	1
전시물들이 별로에요 입장료에 비하면 그냥 산책이 나을듯요	0
구경할 거 많아요	1
좋아요	1
부여가면 꼭 들르세요 야간에 다녀왔는데 너무 이뼜어요	1
조용하고너무아름다운곳	1
날씨 좋은 날 근처에 갔다가 들렀는데 너무좋았어요:) 저희는 전기어차 대여했는데 아이가 없다면 천천히 둘러보면서 구경하기 좋으실거같고 아이가 있다면 전기어차 추천합니다.다만 가격이 살짝 비싼감이있어요ㅠ 한시간 대여했었는데 시간이 조금 촉박했어요~ 추가금도 부담되는 가격이었구요~그래도 아이들이 넘 좋아했었고 잘 보고 왔어요부모님들 모시고 가도 좋아하실 것 같아요 :)	1
밤 도깨비 소탕 대작전 ㅋㅋ 애들이 짱 좋아해요!! 멋있는 우리 문화제>.<	1
기대이상으로 볼거리 즐길거리가 많아요. 생각보다 커서 걷는것보다 전기자전거 타고 도니까 재미있었어요. 안쪽에 만들기활동체험도 있는데 가격도 저렴하고 좋았어요.	1
부여는 먹거리도 다양해서 좋구 구경할 곳이 은근  많네요 백제유적지답게 가는곳마다 유적지다운~^^ 볼거리많다 부여 좋다 부여~	1
부여 백제문화제 좋았습니다^^ 내년에 다시 오려구요~	1
포크송 콘서트 보러왔어요. 송창식 자탄풍 유리상자 등등	1
대백제전 축제 다녀왔어요~즐겁고 행복하게 다녀왔어요! 7시에 도착하니 주차는 조금 어렵더라고요ㅜㅜ	1
예뻐요. ㅜㅜ 즐거운시간보냈습니다.	1
다음에 올때는 백제시대 의상입구 사진 마구마구 찍고싶다 생각보다 봄가을에 와도 너무 좋을것 같다 사진도 잘나오고 넓어서 산책하기 좋은곳 	1
백제문화단지 예쁘고 좋았어요,축제준비중이라 어순선 했지만...수륙양용버스 예약하면 투어버스 무료라해서 탑승해서 구경하고, 다음버스 타려고 했더니 오질 않더군요.전화도 안받고 어쩌라는건지..	0
좋아요	1
입구 매표소에서 검표하시는 단발머리 안경쓰신 여자직원분 태도를 좀 고치셨으면 합니다ㅎ 아울렛 쪽 입구가 아닌 백제숲 쪽 입구로 들어와서 매표기계를 보지 못해 입구 매표소에서 구매하려 하는데, 저 멀리있는 매표기계에서 매표하라길래 돌아가고 있었습니다, 가고있는 중에 엄청난 선심을 쓰듯이 불러서는 조소를 지으며 이번만 여기서 해드린다면서 매표해주시네요~ 거기서도 다 구입할 수 있는 시스템이 갖춰져 있던데 그럴거면 바로 해주면 되지 뭣하러 사람을 농락하시는지..? 뭘 물어봐도 사람 업신여기듯이 대답하는 태도가 너무 기분나빠서 다신 오고 싶지 않아졌네요~	0
충청남도 부여군 규암면 합정리에 위치한 백제역사 문화단지로 100만평 규모로 조성되었다. 백제 왕궁, 삼국시대 모습 그리고 능사, 고분공원 위례성 그리고 생활문화마을 조성까지 백제 문화 면면을 확인하면서 즐길 수 있다.	1
밤 야경이 좋으네요 롯데리조트에 걸어서 5분컷 저녁 먹고 산책으로 다녀왔는데 야경은 좋은데 입장료가 있어요 조금 비싸다는 생각	1
부여에서의 여행계획이 있었으나, 당일 비가 많이와 일정이 취소되어 고민하던 찰나에 백제문화단지 야간 입장을 찾아보게 되어 방문하였습니다. 네이버로 할인구매하여 입장하였는데, 중간중간 설명도 잘 되어 있고 영상관람 등 다양하게 구성되어 있어 재미나게 보고 나왔습니다.	1
부여에 여행와서 백제의 숨결을 느낄 수 있았어요. 능사5층목탑과 사비성을 보고 역사를 공부했네요	1
롯데아울렛 옆에 위치해있고 부여 롯데리조트에서 도보로 갈 수 있어서 편해요 ! 야간 개장한다해서 저녁에 갔는데 진짜 예뻤어요! 특히 5층 목탑이 예뻤고 목탑 오른쪽 문으로 나와서 보는 풍경이 정말 멋졌어요 👍🏻북 칠 수 있는 곳도 있어서 북도 쳐보고 재밌었어요 입구에서 무료 우산 대여할 수 있어서 관람 중간에 비가 왔는데 우산 잘 사용했어요 :)	1
굳	1
좋아요	1
굿	1
아이들에게 부여를 보여주고 싶어 가게되었는데 너무 즐겁게 있다가 온것 같아요.	1
규모가 커서 전기어차를 타는 것을 추천함 추석기간 이벤트를 참고하시길	1
좋아요^^	1
볼거리가 많아요	1
ㅇ	1
더운날씨에갔었는데 볼거리도 많고 좋았어요	1
낮밤 모두 아름답고 야경뷰가 예술입니다 직원분모두 친절하시고요 하루종일있어도 될만한뷰인것같습니다 백제문화제가 화려하고 특히.능사5층탑이 화려하고 높이가 높은것이 인상깊었습니다 아직아이들이어려 혈촌(공포체험)을 못해.아쉬었습니다 ^^ 또가고싶네요	1
9월인데도 열대야 때문에 더워 죽을뻔했지만 정말 좋았습니다 관리가잘되고있는것같아요 공주만큼 부여도 더 관광객이 늘면 좋을것같다 생각했을만큼 볼거리도 먹거리도 참 좋네요 잘놀고갑니다 ^^	1
밤에 가니 야경이 예뻤어요	1
야간에 공포체험 프로그램도 있구요, 건물들이 정말 예쁘고 웅장해요. 낮에 다시 와보고 싶어요! 특히 5층 목탑은 백제시대의 아름다움이 감동적으로 다가왔어요. 어마어마한 규모로 조성한 백제문화단지가 앞으로 더 흥하길 응원합니다.	1
야경이 멋져요. 9월말쯤 되면 선선해져서 더 좋을 듯합니다.	1
더웠지만 정말잘되있네요!	1
다음엔 야간 개장도 다녀와야겠어요 ㅎㅎ 다음엔 야간 개장도 다녀와야겠어요 ㅎㅎ	1
야경 사진 찍기 좋아요. 체험 프로그램 하려면 낮에 오실것 추천	1
친절 다양 저렴	1
굿	1
낮엔 더웠지만 밤이되니 시원해요.	1
8살 아이와 처음 방문했는데 아이가 무지좋아했습니다 스템프 찍는거 너무 좋아하더라구요 아이와 가기 추천합니다~~^^	1
밤에 가니 운치 있고 야경도 너무 멋있었어요! 중간중간 어두운 공간들도 있어서 셀프 공포체험도 했네욤	1
굿굿	1
넓어서 가기 좋아요	1
굿	1
부여 첫여행인데 이거 보러 왔어요 오길 잘했다 볼만합니다	1
nice trip spot	1
좋아요	1
야간개장가니 시원하고 사진찍기도 좋구 아이와 함께 즐거운 시간이였어요. 전기자전서 빌려서 탄건 정말 신의한수 !!	1
아이들이랑 너무 즐겁게 놀다왔어요~ 밤도깨비 소탕 대작전 덕분에 아이들도 더 잘 걸어다니고, 스탬프 하나하나 찾아서 찍을때 너무 좋아하니 덩달아 좋더라구요~ 배경도 예쁘고 가는곳마다 한옥이주는 아름다움에 기븐이 계속 좋았어요! 미션완료하고 나올때주시는 선물도 아이들 취저라 입장료가 하나도 아깝지 않더라구요! 잘놀다왔어요!	1
야간 개강으로 미리 네이버 예약하고 입장했습니다 입구부터 훌라우프 버블놀이 등 발길을 사로 잡는 놀이거리가 있었어요 유모차나 휠체어 끌고다니기는 살짝 어려웠습니다. 조명 켜둔 모습이 이뻤고 조금 들 덥고 아기가 조금 더 컸다면 다~ 둘러보고 싶을 정도로 이쁜 역사단지 였습니다. 곳곳에 토끼, 달, 그네 등 아이들과 함께 왔을 때 놀고 사진 찍어주기 좋은 스팟들을 잘해두었어여. 또 오고 싶은 부여 여행지였습니다. 다음에는 크게 도는 기차도 타보고 싶어요	1
백제역사를 알수있어서 좋아요	1
규모가 어마어마하고 볼것도 많고 주변 편의시설이 잘 되어있어서 매우 좋았습니다.	1
무료 관광지보다 볼거리가 없던곳이라 많이 아쉬웠다. 홈페이지를 보고 여러 체험활동들을 기대하고 방문했으나 조잡했고, 장난감 수준의 퀄리티였다. 겉으로는 커 보였지만 막상 안을 보니 궁 안에 비워져있고 아무것도 없어서 실망스러웠다. 부모님과 함께 왔는데 모두가 실망스러워 했고, 화장실이 제일 볼만했던것같다. 더워서 체험활동이나 궁 안을 비워뒀으면 최소한 다른 활동들로 채웠어야했다. 부여여행중 제일 별로,,,,,	0
8월 말이었는데 밤에 산책하며 걷기 좋았습니다, 관리도 잘 되어 있었고 백제를 느끼기에 한시간정도 코스로 돌아보기 좋았습니다!	1
더워서 힘들었지만 좋았어요~	1
산책하기 좋아요	1
밤에 보는 뷰 환상 그 잡채입니다!	1
좋은데 야간에 할인 적용이 하나도 안되는 것 아쉽구요. 밤도깨비 너무 허술해서 아쉬웠습니다잉 ㅜ 도깨비 인형이라도… 모형이라도 두시면 좋았을텐데 깜깜해서 그림도 잘 안보이더라구요 힝 아쉬워요 그리고 솔직히 참가비라기엔 5000원 비싸네요. 종이한장 펜한개 주시는데 ㅜㅜ 어린이 입장객에게는 무료로 주셔도 괜찮을것 같아요 야간 이쁘고 가을엔 더 좋을것 같아요	0
